World Rank	Institution	Location	National Rank	Education Rank	Employability Rank	Faculty Rank	Research Rank	Score
566	Palacký University Olomouc	Czech Republic	3	-	-	-	533	73.5
567	Medical University of Graz	Austria	6	-	-	-	534	73.5
568	University of Graz	Austria	7	447	1252	160	701	73.4
569	China University of Geosciences (Wuhan)	China	70	-	731	-	542	73.4
570	Clemson University	USA	149	-	929	-	538	73.4
571	University of Minho	Portugal	5	-	-	-	537	73.4
572	Swansea University	United Kingdom	40	-	1293	-	539	73.4
573	Central China Normal University	China	71	-	1159	-	541	73.4
574	Chiba University	Japan	16	-	-	-	543	73.4
575	Bocconi University	Italy	27	-	50	259	1031	73.4
576	Ewha Womans University	South Korea	14	-	-	-	544	73.4
577	North China Electric Power University	China	72	-	302	-	578	73.4
578	San Diego State University	USA	150	309	421	-	567	73.4
579	Chang Gung University	Taiwan	6	-	-	-	545	73.3
580	Polytechnic University of Turin	Italy	28	-	889	-	547	73.3
581	National Central University	Taiwan	7	-	-	-	549	73.3
582	University of Texas at Arlington	USA	151	-	819	-	553	73.3
583	University of Sherbrooke	Canada	21	-	977	-	551	73.3
584	Rensselaer Polytechnic Institute	USA	152	436	147	-	646	73.3
585	University of Jyväskylä	Finland	7	-	1530	-	550	73.3
586	University of Palermo	Italy	29	-	-	-	552	73.3
587	University of Aveiro	Portugal	6	-	-	-	554	73.3
588	Nanjing Normal University	China	73	-	990	-	557	73.3
589	Federal University of São Paulo	Brazil	7	-	-	-	555	73.2
590	AGH University of Science and Technology	Poland	3	-	913	-	561	73.2
591	University of Delhi	India	6	530	217	-	616	73.2
592	Institut Agro	France	27	-	-	-	558	73.2
593	University of Iceland	Iceland	1	-	-	-	559	73.2
594	Hefei University of Technology	China	74	-	892	-	564	73.2
595	Middle East Technical University	Turkey	1	-	314	-	592	73.2
596	Ioffe Physical-Technical Institute of the Russian Academy of Sciences	Russia	8	41	-	222	1039	73.2
597	University of Macau	China	75	-	590	-	574	73.2
598	University of Wisconsin–Milwaukee	USA	153	279	493	-	587	73.2
599	University of Salerno	Italy	30	-	1610	-	566	73.2
600	Brigham Young University	USA	154	318	780	-	575	73.1
601	Renmin University of China	China	76	-	93	-	752	73.1
602	University of Nebraska Medical Center	USA	155	-	-	-	568	73.1
603	Zhejiang University of Technology	China	77	-	1168	-	570	73.1
604	Donghua University	China	78	-	1167	-	571	73.1
605	University of St.Gallen	Switzerland	9	-	29	-	1526	73.1
606	Illinois Institute of Technology	USA	156	63	177	-	851	73.1
607	University of Brescia	Italy	31	-	-	-	572	73.1
608	Indian Institute of Technology Delhi	India	7	-	127	-	690	73.1
609	Qingdao University	China	79	-	-	-	573	73.1
610	National Research Nuclear University MEPhI	Russia	9	451	-	-	577	73.1
611	Nanchang University	China	80	-	1082	-	580	73.0
612	University of Udine	Italy	32	-	-	-	579	73.0
613	Concordia University	Canada	22	532	340	-	609	73.0
614	College of William & Mary	USA	157	-	95	-	760	73.0
615	University of Cagliari	Italy	33	-	-	-	581	73.0
616	Swinburne University of Technology	Australia	24	-	-	-	582	73.0
617	Yangzhou University	China	81	-	1633	-	583	73.0
618	University of Burgundy	France	28	170	-	-	608	73.0
619	Czech Technical University in Prague	Czech Republic	4	400	-	-	584	73.0
620	Institute of Cancer Research, University of London	United Kingdom	41	246	-	-	596	73.0
621	University of Eastern Piedmont	Italy	34	-	-	-	585	73.0
622	Tehran University of Medical Sciences	Iran	3	-	-	-	586	73.0
623	Guangdong University of Technology	China	82	-	1485	-	589	72.9
624	University of Cantabria	Spain	18	-	1531	-	590	72.9
625	Jeonbuk National University	South Korea	15	-	-	-	591	72.9
626	Utah State University	USA	158	351	967	-	598	72.9
627	Second Military Medical University	China	83	-	-	-	593	72.9
628	CINVESTAV	Mexico	2	-	-	-	595	72.9
629	University of Johannesburg	South Africa	6	-	1040	-	599	72.9
630	Comenius University in Bratislava	Slovak Republic	1	-	-	-	597	72.9
631	Southwest Jiaotong University	China	84	-	842	-	605	72.9
632	St George's, University of London	United Kingdom	42	-	-	-	600	72.9
633	Tianjin Medical University	China	85	-	-	-	601	72.9
634	University of Québec at Montreal	Canada	23	-	1034	-	604	72.8
635	Swarthmore College	USA	159	19	303	-	-	72.8
636	Catholic University of Korea	South Korea	16	-	-	-	603	72.8
637	Chung-Ang University	South Korea	17	-	1153	-	606	72.8
638	Henryk Niewodniczański Institute of Nuclear Physics	Poland	4	-	-	-	607	72.8
639	National University of La Plata	Argentina	2	-	1516	-	610	72.8
640	National Polytechnic Institute	Mexico	3	-	-	-	611	72.8
641	University of Bayreuth	Germany	41	-	1192	-	612	72.8
642	Loughborough University	United Kingdom	43	-	1540	274	632	72.8
643	University of New Hampshire	USA	160	-	517	-	631	72.8
644	Bielefeld University	Germany	42	441	1580	-	614	72.8
645	Konkuk University	South Korea	18	-	1097	-	615	72.8
646	Sharif University of Technology	Iran	4	399	-	-	617	72.7
647	Boğaziçi University	Turkey	2	-	523	-	634	72.7
648	Memorial University of Newfoundland	Canada	24	-	789	-	624	72.7
649	National University of Ireland, Galway	Ireland	4	229	1546	-	635	72.7
650	University of Plymouth	United Kingdom	44	-	1585	-	618	72.7
651	South China Normal University	China	86	-	1146	-	620	72.7
652	Hacettepe University	Turkey	3	-	-	-	619	72.7
653	Rio de Janeiro State University	Brazil	8	-	1297	-	621	72.7
654	China University of Mining and Technology (Xuzhou)	China	87	-	628	-	633	72.7
655	National University of Defense Technology	China	88	-	1123	-	625	72.7
656	University of Haifa	Israel	7	-	991	-	626	72.7
657	University of La Laguna	Spain	19	-	-	-	622	72.6
658	China University of Geosciences, Beijing	China	89	-	-	-	623	72.6
659	Haverford College	USA	161	20	1177	-	1949	72.6
660	Gustave Eiffel University	France	29	444	-	-	629	72.6
661	University of Texas at San Antonio	USA	162	-	-	-	627	72.6
662	Cold Spring Harbor Laboratory	USA	163	-	-	101	923	72.6
663	University of Málaga	Spain	20	-	-	-	628	72.6
664	University of Campania Luigi Vanvitelli	Italy	35	-	-	-	630	72.6
665	Ankara University	Turkey	4	-	837	-	636	72.6
666	Beijing University of Technology	China	90	-	-	-	637	72.6
667	University of Oklahoma Health Sciences Center	USA	164	-	-	-	638	72.6
668	University of Angers	France	30	-	-	-	639	72.6
669	South China Agricultural University	China	91	-	1640	-	640	72.5
670	Tilburg University	Netherlands	13	-	387	-	668	72.5
671	Binghamton University	USA	165	304	342	158	899	72.5
672	University of Kent	United Kingdom	45	-	934	-	645	72.5
673	Semmelweis University	Hungary	2	-	-	-	642	72.5
674	Hong Kong Baptist University	China	92	-	1507	-	643	72.5
675	Shinshu University	Japan	17	-	1500	-	644	72.5
676	University of Wyoming	USA	166	-	778	-	650	72.5
677	University of Fribourg	Switzerland	10	-	294	-	685	72.5
678	Guangzhou Medical University	China	93	-	-	-	647	72.5
679	University of Szeged	Hungary	3	449	-	196	783	72.5
680	Sciences Po	France	31	-	58	66	-	72.5
681	King Fahd University of Petroleum and Minerals	Saudi Arabia	4	-	111	-	797	72.5
682	Institut national des sciences appliquées de Lyon	France	32	-	1405	-	649	72.4
683	Roma Tre University	Italy	36	-	-	-	648	72.4
684	Hohai University	China	94	-	1214	-	651	72.4
685	University of Nevada, Reno	USA	167	-	1198	-	652	72.4
686	Northeast Normal University	China	95	-	1415	-	653	72.4
687	Istanbul University	Turkey	5	464	1106	-	654	72.4
688	University of Maine	USA	168	499	1304	123	909	72.4
689	Yokohama City University	Japan	18	-	194	-	724	72.4
690	Chungnam National University	South Korea	19	-	1509	-	655	72.4
691	Northwest University, Xi'an	China	96	-	1197	-	656	72.4
692	Massey University	New Zealand	4	-	921	-	660	72.4
693	University of Calabria	Italy	37	-	-	-	657	72.4
694	Tokyo Medical and Dental University	Japan	19	-	-	-	658	72.3
695	University of North Texas	USA	169	-	767	-	666	72.3
696	Sejong University	South Korea	20	-	-	-	659	72.3
697	Oswaldo Cruz Foundation	Brazil	9	-	-	-	661	72.3
698	Istanbul Technical University	Turkey	6	-	914	-	665	72.3
699	Vilnius University	Lithuania	1	-	-	-	662	72.3
700	University of Poitiers	France	33	338	-	-	667	72.3
701	Taipei Medical University	Taiwan	8	-	-	-	663	72.3
702	Shaanxi Normal University	China	97	-	-	-	664	72.3
703	Victoria University of Wellington	New Zealand	5	379	809	-	674	72.3
704	Loyola University Chicago	USA	170	355	1072	-	669	72.3
705	Tokyo Metropolitan University	Japan	20	188	1137	-	688	72.3
706	Heriot-Watt University	United Kingdom	46	-	558	-	678	72.2
707	University of Salamanca	Spain	21	-	888	-	672	72.2
708	Inha University	South Korea	21	-	752	-	676	72.2
709	University of Ioannina	Greece	4	-	-	-	670	72.2
710	University of Texas Medical Branch	USA	171	-	-	-	671	72.2
711	Warsaw University of Technology	Poland	5	347	961	-	677	72.2
712	Army Medical University	China	98	-	-	-	675	72.2
713	Kanazawa University	Japan	21	-	630	-	683	72.2
714	Mississippi State University	USA	172	317	429	-	702	72.2
715	Beijing University of Posts and Telecommunications	China	99	-	480	-	692	72.2
716	Toulouse INP	France	34	-	259	-	721	72.2
717	University of Debrecen	Hungary	4	-	-	-	679	72.2
718	Isfahan University of Technology	Iran	5	-	-	-	680	72.2
719	Federal University of Santa Catarina	Brazil	10	-	1372	-	682	72.1
720	Otto von Guericke University Magdeburg	Germany	43	-	-	-	681	72.1
721	Central Party School of the Communist Party of China	China	100	-	21	-	-	72.1
722	Budker Institute of Nuclear Physics of the Siberian Branch of the Russian Academy of Sciences	Russia	10	-	-	-	684	72.1
723	National Chung Hsing University	Taiwan	9	-	235	-	734	72.1
724	University of Missouri-Kansas City	USA	173	473	585	-	696	72.1
725	Wenzhou Medical University	China	101	-	-	-	686	72.1
726	Shanxi University	China	102	-	1605	-	687	72.1
