World Rank	Institution	Location	National Rank	Education Rank	Employability Rank	Faculty Rank	Research Rank	Score
900	University of Louisiana at Lafayette	USA	198	-	-	-	857	70.9
901	Gachon University	South Korea	28	-	-	-	858	70.8
902	University of Valladolid	Spain	32	-	1185	-	861	70.8
903	Jean Monnet University	France	39	-	-	-	859	70.8
904	Norwegian School of Economics	Norway	6	465	41	-	-	70.8
905	Sofia University	Bulgaria	1	156	-	-	905	70.8
906	Gazi University	Turkey	8	-	1329	-	863	70.8
907	Jawaharlal Nehru Centre for Advanced Scientific Research	India	15	-	-	119	1297	70.8
908	Iran University of Science and Technology	Iran	8	-	-	-	862	70.8
909	Henan Normal University	China	133	-	-	-	864	70.8
910	University of Stirling	United Kingdom	60	-	615	-	882	70.8
911	Kunming University of Science and Technology	China	134	-	-	-	867	70.8
912	University of Seoul	South Korea	29	-	-	-	868	70.8
913	University of Science and Technology, Korea	South Korea	30	-	-	-	870	70.8
914	Michigan Technological University	USA	199	354	903	-	878	70.8
915	Khalifa University	United Arab Emirates	1	-	-	-	871	70.8
916	Inje University	South Korea	31	-	-	-	872	70.8
917	Medical University of Warsaw	Poland	9	-	-	-	873	70.7
918	Qatar University	Qatar	1	-	879	-	877	70.7
919	Federal University of Viçosa	Brazil	16	-	-	-	874	70.7
920	Yanshan University	China	135	-	1303	-	875	70.7
921	Portland State University	USA	200	-	389	-	916	70.7
922	Shiraz University	Iran	9	-	-	-	876	70.7
923	Missouri University of Science and Technology	USA	201	-	410	-	917	70.7
924	Nihon University	Japan	34	522	1241	-	880	70.7
925	Chungbuk National University	South Korea	32	-	-	-	879	70.7
926	Wroclaw Medical University	Poland	10	-	-	-	881	70.7
927	Gabriele d’Annunzio University	Italy	46	-	-	-	883	70.7
928	Hunan Normal University	China	136	-	-	-	884	70.7
929	Claremont McKenna College	USA	202	-	37	-	-	70.7
930	Çukurova University	Turkey	9	-	1499	-	885	70.7
931	Budapest University of Technology and Economics	Hungary	5	224	1374	-	911	70.7
932	Mansoura University	Egypt	3	-	-	-	886	70.6
933	Polytechnic University of Bucharest	Romania	2	-	-	-	887	70.6
934	Academy of Scientific & Innovative Research	India	16	-	-	-	888	70.6
935	Technical University of Kaiserslautern	Germany	52	-	1226	-	889	70.6
936	King Juan Carlos University	Spain	33	-	-	-	890	70.6
937	Indian Institute of Technology Guwahati	India	17	-	-	-	891	70.6
938	Shahid Beheshti University of Medical Sciences	Iran	10	-	-	-	892	70.6
939	University of Limerick	Ireland	5	-	620	-	906	70.6
940	Federal University of ABC	Brazil	17	-	-	-	894	70.6
941	Oberlin College	USA	203	26	-	-	-	70.6
942	Chiang Mai University	Thailand	3	-	1622	-	895	70.6
943	University of the Republic, Uruguay	Uruguay	1	-	1648	-	896	70.6
944	Paul Valéry University	France	40	-	-	-	897	70.6
945	Keele University	United Kingdom	61	-	1480	-	898	70.6
946	Institut national de la recherche scientifique	Canada	26	-	-	-	900	70.6
947	Xiangtan University	China	137	-	1024	-	903	70.6
948	Yunnan University	China	138	-	1603	-	901	70.5
949	University of Akron	USA	204	-	745	-	912	70.5
950	Mohammed V University	Morocco	1	-	-	-	902	70.5
951	Federal University of Ceará	Brazil	18	-	1459	-	904	70.5
952	North Dakota State University	USA	205	293	986	-	920	70.5
953	Federal University of Pelotas	Brazil	19	-	-	-	907	70.5
954	University of Sassari	Italy	47	-	-	-	908	70.5
955	Makerere University	Uganda	1	-	1463	-	910	70.5
956	INSA Toulouse	France	41	-	582	-	927	70.5
957	Southern Illinois University Carbondale	USA	206	-	1506	-	914	70.5
958	Sichuan Agricultural University	China	139	-	-	-	913	70.5
959	Aston University	United Kingdom	62	-	560	-	936	70.5
960	Federal University of São Carlos	Brazil	20	-	-	-	915	70.5
961	East Carolina University	USA	207	-	813	-	921	70.5
962	New Jersey Institute of Technology	USA	208	425	682	-	928	70.5
963	University of Windsor	Canada	27	-	197	-	1010	70.5
964	Johannes Kepler University Linz	Austria	10	-	871	-	922	70.4
965	Nantong University	China	140	-	-	-	919	70.4
966	University of Hyogo	Japan	35	-	-	102	1461	70.4
967	Fluminense Federal University	Brazil	21	-	976	-	925	70.4
968	Hangzhou Dianzi University	China	141	-	1230	-	924	70.4
969	Ulster University	United Kingdom	63	-	1412	-	926	70.4
970	University of Regina	Canada	28	-	-	-	929	70.4
971	Shanghai Normal University	China	142	-	1334	-	930	70.4
972	University of Naples Parthenope	Italy	48	-	-	-	932	70.4
973	Bucknell University	USA	209	-	54	-	1941	70.4
974	Marmara University	Turkey	10	-	-	-	933	70.4
975	Tunis El Manar University	Tunisia	1	-	-	-	934	70.4
976	National University of Córdoba	Argentina	3	-	-	-	935	70.4
977	Pomona College	USA	210	27	931	271	-	70.4
978	Ferdowsi University of Mashhad	Iran	11	-	-	-	937	70.4
979	Hallym University	South Korea	33	-	-	-	938	70.4
980	Colgate University	USA	211	-	49	-	-	70.4
981	University of Memphis	USA	212	-	446	-	961	70.3
982	ITMO University	Russia	16	-	-	-	939	70.3
983	Capital Normal University	China	143	-	924	-	942	70.3
984	Federal University of Rio Grande do Norte	Brazil	22	-	-	-	940	70.3
985	University of Tabriz	Iran	12	-	-	-	941	70.3
986	Lappeenranta University of Technology	Finland	8	-	679	-	949	70.3
987	Ritsumeikan University	Japan	36	-	633	-	953	70.3
988	Edith Cowan University	Australia	26	-	1276	-	944	70.3
989	Fujian Medical University	China	144	-	-	-	943	70.3
990	Babson College	USA	213	-	39	-	-	70.3
991	Alexandria University	Egypt	4	408	1652	-	945	70.3
992	Homi Bhabha National Institute	India	18	-	-	-	946	70.3
993	Tokai University	Japan	37	-	-	-	947	70.3
994	Autonomous University of San Luis Potosí	Mexico	5	-	-	-	948	70.3
995	Federal University of Juiz de Fora	Brazil	23	-	-	-	950	70.3
996	Qufu Normal University	China	145	-	-	-	951	70.3
997	Pepperdine University	USA	214	94	87	168	-	70.2
998	University of Extremadura	Spain	34	-	-	-	954	70.2
999	Wrocław University of Science and Technology	Poland	11	-	901	-	957	70.2
1000	Bilkent University	Turkey	11	-	893	-	958	70.2
