World Rank,Institution,Location,Year,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
76,"Texas A&M University, College Station",USA,2024,42.0,551.0,132.0,72.0,109.0,83.0
77,Zhejiang University,China,2024,5.0,551.0,386.0,284.0,29.0,83.0
78,Fudan University,China,2024,6.0,339.0,90.0,284.0,46.0,82.9
79,National University of Singapore,Singapore,2024,1.0,351.0,182.0,284.0,34.0,82.9
80,Leiden University,Netherlands,2024,2.0,123.0,1001.0,77.0,91.0,82.8
81,University of Alberta,Canada,2024,4.0,325.0,523.0,67.0,88.0,82.8
82,University of Amsterdam,Netherlands,2024,3.0,254.0,766.0,201.0,42.0,82.7
83,University of Oslo,Norway,2024,1.0,111.0,821.0,80.0,92.0,82.7
84,University of Florida,USA,2024,43.0,309.0,412.0,140.0,63.0,82.6
85,"University of California, Irvine",USA,2024,44.0,386.0,1001.0,33.0,112.0,82.6
86,Uppsala University,Sweden,2024,2.0,119.0,470.0,71.0,107.0,82.5
87,"University of Maryland, College Park",USA,2024,45.0,120.0,380.0,146.0,75.0,82.5
88,Technical University of Munich,Germany,2024,5.0,91.0,395.0,144.0,81.0,82.4
89,University of Birmingham,United Kingdom,2024,8.0,50.0,501.0,169.0,108.0,82.4
90,University of Sydney,Australia,2024,2.0,197.0,642.0,284.0,35.0,82.3
91,University of Rochester,USA,2024,46.0,64.0,72.0,132.0,187.0,82.3
92,Boston University,USA,2024,47.0,433.0,112.0,199.0,82.0,82.2
93,University of Arizona,USA,2024,48.0,507.0,247.0,69.0,111.0,82.2
94,University of Bristol,United Kingdom,2024,9.0,195.0,472.0,79.0,103.0,82.2
95,Aarhus University,Denmark,2024,2.0,216.0,292.0,127.0,87.0,82.1
96,Keio University,Japan,2024,3.0,538.0,13.0,284.0,398.0,82.1
97,Osaka University,Japan,2024,4.0,139.0,70.0,124.0,159.0,82.0
98,Carnegie Mellon University,USA,2024,49.0,58.0,119.0,39.0,237.0,82.0
99,University of New South Wales,Australia,2024,3.0,528.0,121.0,284.0,58.0,81.9
100,École Polytechnique Fédérale de Lausanne,Switzerland,2024,3.0,551.0,89.0,111.0,132.0,81.9
101,Erasmus University Rotterdam,Netherlands,2024,4.0,545.0,80.0,272.0,85.0,81.8
102,University of Groningen,Netherlands,2024,5.0,256.0,586.0,141.0,77.0,81.8
103,KU Leuven,Belgium,2024,1.0,530.0,447.0,242.0,52.0,81.8
104,National Taiwan University,Taiwan,2024,1.0,294.0,41.0,284.0,136.0,81.7
105,University of Göttingen,Germany,2024,6.0,45.0,371.0,104.0,174.0,81.7
106,University of Leeds,United Kingdom,2024,10.0,131.0,460.0,53.0,141.0,81.6
107,University of Queensland,Australia,2024,4.0,417.0,664.0,245.0,53.0,81.6
108,"University of California, Santa Barbara",USA,2024,50.0,220.0,531.0,19.0,178.0,81.6
109,University of Basel,Switzerland,2024,4.0,60.0,306.0,83.0,165.0,81.5
110,University of Texas MD Anderson Cancer Center,USA,2024,51.0,551.0,1001.0,90.0,96.0,81.5
111,University of Geneva,Switzerland,2024,5.0,69.0,467.0,108.0,133.0,81.4
112,University of Bonn,Germany,2024,7.0,66.0,458.0,89.0,153.0,81.4
113,Sun Yat-sen University,China,2024,7.0,551.0,336.0,284.0,45.0,81.4
114,University of Science and Technology of China,China,2024,8.0,551.0,276.0,284.0,50.0,81.3
115,University of Utah,USA,2024,52.0,240.0,210.0,138.0,106.0,81.3
116,University of Tübingen,Germany,2024,8.0,54.0,929.0,98.0,164.0,81.3
117,University of São Paulo,Brazil,2024,1.0,525.0,376.0,184.0,78.0,81.2
118,Indiana University Bloomington,USA,2024,53.0,246.0,97.0,177.0,124.0,81.2
119,Huazhong University of Science and Technology,China,2024,9.0,551.0,166.0,284.0,66.0,81.1
120,Nagoya University,Japan,2024,5.0,63.0,203.0,60.0,216.0,81.1
121,Monash University,Australia,2024,5.0,551.0,527.0,284.0,49.0,81.1
122,INSEAD,France,2024,6.0,551.0,2.0,284.0,1001.0,81.0
123,University of Montreal,Canada,2024,5.0,461.0,515.0,125.0,101.0,81.0
124,Sapienza University of Rome,Italy,2024,1.0,425.0,497.0,100.0,113.0,81.0
125,Australian National University,Australia,2024,6.0,157.0,466.0,78.0,147.0,80.9
126,University of Helsinki,Finland,2024,1.0,198.0,789.0,164.0,94.0,80.9
127,University of Southampton,United Kingdom,2024,11.0,455.0,304.0,112.0,125.0,80.9
128,Emory University,USA,2024,54.0,471.0,275.0,284.0,69.0,80.8
129,Ghent University,Belgium,2024,2.0,337.0,555.0,195.0,90.0,80.8
130,Baylor College of Medicine,USA,2024,55.0,89.0,1001.0,158.0,127.0,80.8
131,University of Glasgow,United Kingdom,2024,12.0,140.0,480.0,142.0,128.0,80.7
132,University of Freiburg,Germany,2024,9.0,92.0,222.0,99.0,177.0,80.7
133,Nanyang Technological University,Singapore,2024,2.0,551.0,830.0,284.0,67.0,80.7
134,University of Barcelona,Spain,2024,1.0,551.0,625.0,284.0,70.0,80.6
135,University of Bern,Switzerland,2024,6.0,158.0,1001.0,161.0,122.0,80.6
136,University of Liverpool,United Kingdom,2024,13.0,153.0,509.0,97.0,156.0,80.6
137,University of Colorado Anschutz Medical Campus,USA,2024,56.0,551.0,1001.0,95.0,142.0,80.5
138,Nanjing University,China,2024,10.0,483.0,334.0,284.0,79.0,80.5
139,Case Western Reserve University,USA,2024,57.0,67.0,303.0,182.0,168.0,80.5
140,University of Strasbourg,France,2024,7.0,117.0,1001.0,48.0,218.0,80.4
141,University of Nottingham,United Kingdom,2024,14.0,190.0,571.0,109.0,148.0,80.4
142,KTH Royal Institute of Technology,Sweden,2024,3.0,226.0,48.0,186.0,245.0,80.4
143,University of Western Australia,Australia,2024,7.0,196.0,442.0,178.0,129.0,80.3
144,Goethe University Frankfurt,Germany,2024,10.0,181.0,784.0,49.0,212.0,80.3
145,Lund University,Sweden,2024,4.0,206.0,489.0,259.0,97.0,80.3
146,University of Iowa,USA,2024,58.0,94.0,249.0,185.0,161.0,80.3
147,Tohoku University,Japan,2024,6.0,132.0,139.0,155.0,185.0,80.2
148,Stockholm University,Sweden,2024,5.0,171.0,225.0,94.0,186.0,80.2
149,Yonsei University,South Korea,2024,2.0,551.0,83.0,284.0,139.0,80.2
150,VU Amsterdam,Netherlands,2024,6.0,551.0,1001.0,284.0,86.0,80.1
151,Tianjin University,China,2024,11.0,551.0,106.0,284.0,131.0,80.1
152,Grenoble Alpes University,France,2024,8.0,271.0,1001.0,244.0,110.0,80.1
153,Korea University,South Korea,2024,3.0,551.0,65.0,284.0,176.0,80.0
154,Tel Aviv University,Israel,2024,3.0,345.0,125.0,284.0,126.0,80.0
155,Xiamen University,China,2024,12.0,551.0,62.0,284.0,182.0,80.0
156,University of Hong Kong,China,2024,13.0,551.0,169.0,284.0,116.0,80.0
157,Xi'an Jiaotong University,China,2024,14.0,551.0,159.0,284.0,118.0,79.9
158,University of Hamburg,Germany,2024,11.0,237.0,550.0,284.0,95.0,79.9
159,Michigan State University,USA,2024,59.0,184.0,195.0,284.0,117.0,79.9
160,University of Sheffield,United Kingdom,2024,15.0,194.0,655.0,152.0,157.0,79.8
161,Queen Mary University of London,United Kingdom,2024,16.0,125.0,754.0,145.0,171.0,79.8
162,Cardiff University,United Kingdom,2024,17.0,399.0,361.0,88.0,194.0,79.8
163,Wuhan University,China,2024,15.0,551.0,348.0,284.0,102.0,79.8
164,Aix-Marseille University,France,2024,9.0,518.0,933.0,284.0,93.0,79.7
165,Tufts University,USA,2024,60.0,86.0,75.0,163.0,280.0,79.7
166,Radboud University,Netherlands,2024,7.0,470.0,704.0,283.0,100.0,79.7
167,Newcastle University,United Kingdom,2024,18.0,494.0,594.0,91.0,190.0,79.7
168,Icahn School of Medicine at Mount Sinai,USA,2024,61.0,551.0,1001.0,284.0,98.0,79.6
169,University of Montpellier,France,2024,10.0,474.0,1001.0,284.0,105.0,79.6
170,University of Gothenburg,Sweden,2024,6.0,464.0,484.0,147.0,172.0,79.6
171,McMaster University,Canada,2024,6.0,450.0,856.0,232.0,140.0,79.5
172,Tokyo Institute of Technology,Japan,2024,7.0,311.0,101.0,75.0,299.0,79.5
173,University of Padova,Italy,2024,2.0,479.0,1001.0,284.0,114.0,79.5
174,Harbin Institute of Technology,China,2024,16.0,551.0,539.0,284.0,119.0,79.5
175,University of Massachusetts Amherst,USA,2024,62.0,502.0,282.0,76.0,240.0,79.4
176,Sichuan University,China,2024,17.0,551.0,1001.0,284.0,115.0,79.4
177,University of Warwick,United Kingdom,2024,19.0,441.0,189.0,230.0,173.0,79.4
178,Norwegian University of Science and Technology,Norway,2024,2.0,252.0,522.0,62.0,253.0,79.4
179,Chinese University of Hong Kong,China,2024,18.0,438.0,1001.0,250.0,137.0,79.3
180,Technion – Israel Institute of Technology,Israel,2024,4.0,104.0,454.0,70.0,281.0,79.3
181,Rice University,USA,2024,63.0,113.0,135.0,118.0,282.0,79.3
182,Shandong University,China,2024,19.0,551.0,1001.0,284.0,123.0,79.3
183,Central South University,China,2024,20.0,551.0,263.0,284.0,135.0,79.2
184,Tongji University,China,2024,21.0,551.0,194.0,284.0,146.0,79.2
185,University of Cologne,Germany,2024,12.0,319.0,219.0,181.0,198.0,79.2
186,University of Milan,Italy,2024,3.0,475.0,563.0,284.0,130.0,79.2
187,Western University,Canada,2024,7.0,420.0,78.0,284.0,210.0,79.1
188,University of Lausanne,Switzerland,2024,7.0,235.0,679.0,136.0,207.0,79.1
189,University of Alabama at Birmingham,USA,2024,64.0,551.0,1001.0,206.0,167.0,79.1
190,South China University of Technology,China,2024,22.0,551.0,226.0,284.0,145.0,79.1
191,Wageningen University & Research,Netherlands,2024,8.0,418.0,804.0,208.0,170.0,79.0
