World Rank,Institution,Location,Year,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
1,Harvard University,USA,2016,1,1,1,1,1,100.0
2,Stanford University,USA,2016,2,9,2,2,4,98.25
3,Massachusetts Institute of Technology,USA,2016,3,2,12,3,6,97.12
4,University of Cambridge,United Kingdom,2016,1,3,10,6,11,96.13
5,University of Oxford,United Kingdom,2016,2,7,13,10,8,95.39
6,Columbia University,USA,2016,4,13,6,9,14,94.12
7,"University of California, Berkeley",USA,2016,5,6,21,5,8,91.35
8,University of Chicago,USA,2016,6,11,14,8,15,90.72
9,Princeton University,USA,2016,7,4,15,4,44,88.72
10,Yale University,USA,2016,8,8,26,11,18,85.83
11,California Institute of Technology,USA,2016,9,5,338,7,33,83.74
12,Cornell University,USA,2016,10,12,19,19,22,81.74
13,University of Tokyo,Japan,2016,1,14,3,31,21,79.51
14,University of Pennsylvania,USA,2016,11,22,4,26,13,77.6
15,"University of California, Los Angeles",USA,2016,12,35,28,13,10,75.23
16,Johns Hopkins University,USA,2016,13,18,89,16,6,70.44
17,"University of California, San Diego",USA,2016,14,27,594,18,12,67.59
18,"University of California, San Francisco",USA,2016,15,378,594,14,16,66.97
19,University of Michigan,USA,2016,16,25,20,139,9,66.6
20,Kyoto University,Japan,2016,2,23,17,27,53,66.53
21,Northwestern University,USA,2016,17,176,11,75,32,66.14
22,New York University,USA,2016,18,38,24,20,35,66.11
23,Swiss Federal Institute of Technology in Zurich,Switzerland,2016,1,17,61,17,38,64.98
24,Seoul National University,South Korea,2016,1,378,9,235,120,64.92
25,University of Wisconsin–Madison,USA,2016,19,29,29,32,23,64.04
26,Hebrew University of Jerusalem,Israel,2016,1,16,196,15,185,63.52
27,University of Washington,USA,2016,20,41,112,23,9,63.38
28,Rockefeller University,USA,2016,21,32,594,12,186,61.64
29,Duke University,USA,2016,22,80,33,46,19,61.32
30,University of Toronto,Canada,2016,1,47,70,24,9,60.79
31,University College London,United Kingdom,2016,3,21,442,33,17,60.54
32,University of Texas at Austin,USA,2016,23,66,31,28,44,60.17
33,Keio University,Japan,2016,3,300,5,235,314,60.08
34,University of Illinois at Urbana–Champaign,USA,2016,24,24,76,22,43,59.83
35,Imperial College London,United Kingdom,2016,4,99,72,37,21,59.4
36,École Polytechnique,France,2016,1,101,7,184,280,59.09
37,Waseda University,Japan,2016,4,302,8,235,429,57.97
38,University of North Carolina at Chapel Hill,USA,2016,25,134,74,61,26,57.4
39,École normale supérieure - Paris,France,2016,2,10,529,69,404,57.3
40,University of Virginia,USA,2016,26,220,18,129,88,56.86
41,Weizmann Institute of Science,Israel,2016,2,20,594,21,188,56.57
42,McGill University,Canada,2016,2,34,38,54,44,56.45
43,Rutgers University,USA,2016,27,112,42,29,61,56.08
44,University of Southern California,USA,2016,28,164,62,35,69,55.89
45,University of Minnesota,USA,2016,29,62,130,64,28,55.85
46,Ohio State University,USA,2016,30,82,101,57,37,55.72
47,University of Pittsburgh,USA,2016,31,85,169,235,35,55.6
48,Osaka University,Japan,2016,5,46,37,78,94,55.52
49,"University of California, Davis",USA,2016,32,45,262,63,33,55.18
50,Dartmouth College,USA,2016,33,48,16,235,206,55.16
51,Washington University in St. Louis,USA,2016,34,111,98,74,29,55.15
52,Pennsylvania State University,USA,2016,35,272,60,67,39,54.48
53,National Taiwan University,Taiwan,2016,1,69,22,235,123,54.4
54,Pierre-and-Marie-Curie University,France,2016,3,26,439,96,38,54.03
55,University of Edinburgh,United Kingdom,2016,5,49,146,39,48,54.03
56,Purdue University,USA,2016,36,72,41,48,85,54.03
57,University of British Columbia,Canada,2016,3,78,312,95,34,53.89
58,"University of California, Santa Barbara",USA,2016,37,107,303,36,76,53.86
59,University of Florida,USA,2016,38,219,244,98,64,53.85
60,Peking University,China,2016,1,162,34,235,93,53.75
61,University of Manchester,United Kingdom,2016,6,110,93,76,46,53.74
62,Boston University,USA,2016,39,319,57,89,50,53.49
63,National University of Singapore,Singapore,2016,1,378,86,235,78,53.3
64,University of Paris-Sud,France,2016,4,33,394,30,90,53.23
65,University of Colorado Boulder,USA,2016,40,61,82,42,62,53.21
66,University of Utah,USA,2016,41,102,104,70,79,53.06
67,Carnegie Mellon University,USA,2016,42,28,140,25,179,53.04
68,"University of Maryland, College Park",USA,2016,43,54,189,50,46,52.99
69,University of Copenhagen,Denmark,2016,1,132,153,68,36,52.92
70,Karolinska Institute,Sweden,2016,1,108,594,41,50,52.76
71,Vanderbilt University,USA,2016,44,92,83,111,59,52.68
72,University of Rochester,USA,2016,45,63,48,114,107,52.47
73,University of Arizona,USA,2016,46,146,50,87,57,52.46
74,Tsinghua University,China,2016,2,325,53,235,83,52.36
75,University of Texas Southwestern Medical Center,USA,2016,47,70,594,40,77,52.32
76,Ludwig Maximilian University of Munich,Germany,2016,1,40,125,71,57,52.27
77,Lomonosov Moscow State University,Russia,2016,1,15,174,53,285,52.15
78,Katholieke Universiteit Leuven,Belgium,2016,1,378,190,235,56,52.1
79,Emory University,USA,2016,48,378,143,126,68,52.09
80,University of Geneva,Switzerland,2016,2,36,221,38,92,52.02
