World Rank,Institution,Location,Year,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
1,Harvard University,USA,2019,1,2.0,1.0,1.0,1.0,100.0
2,Massachusetts Institute of Technology,USA,2019,2,1.0,10.0,2.0,5.0,96.7
3,Stanford University,USA,2019,3,9.0,3.0,3.0,2.0,95.2
4,University of Cambridge,United Kingdom,2019,1,4.0,19.0,5.0,11.0,94.1
5,University of Oxford,United Kingdom,2019,2,10.0,24.0,10.0,4.0,93.3
6,Columbia University,USA,2019,4,13.0,12.0,8.0,12.0,92.6
7,Princeton University,USA,2019,5,6.0,14.0,6.0,54.0,92.0
8,"University of California, Berkeley",USA,2019,6,5.0,48.0,9.0,6.0,91.6
9,University of Pennsylvania,USA,2019,7,15.0,8.0,30.0,14.0,91.1
10,University of Chicago,USA,2019,8,11.0,18.0,19.0,16.0,90.7
11,California Institute of Technology,USA,2019,9,3.0,179.0,4.0,52.0,90.4
12,Yale University,USA,2019,10,8.0,32.0,12.0,17.0,90.1
13,University of Tokyo,Japan,2019,1,22.0,6.0,69.0,23.0,89.8
14,Cornell University,USA,2019,11,12.0,26.0,13.0,22.0,89.5
15,Northwestern University,USA,2019,12,160.0,16.0,31.0,24.0,89.3
16,"University of California, Los Angeles",USA,2019,13,32.0,57.0,15.0,10.0,89.0
17,"University of Michigan, Ann Arbor",USA,2019,14,35.0,35.0,85.0,9.0,88.8
18,Johns Hopkins University,USA,2019,15,31.0,164.0,20.0,7.0,88.6
19,University of Washington - Seattle,USA,2019,16,47.0,208.0,14.0,8.0,88.4
20,University of Illinois at Urbana–Champaign,USA,2019,17,16.0,129.0,17.0,46.0,88.2
21,Kyoto University,Japan,2019,2,33.0,29.0,36.0,58.0,88.0
22,University College London,United Kingdom,2019,3,36.0,669.0,18.0,13.0,87.8
23,Duke University,USA,2019,18,100.0,46.0,25.0,20.0,87.7
24,University of Toronto,Canada,2019,1,236.0,162.0,24.0,3.0,87.5
25,University of Wisconsin–Madison,USA,2019,19,28.0,80.0,35.0,27.0,87.3
26,New York University,USA,2019,20,64.0,39.0,37.0,39.0,87.2
27,University of California San Diego,USA,2019,21,67.0,1001.0,16.0,15.0,87.1
28,Imperial College London,United Kingdom,2019,4,60.0,101.0,53.0,18.0,86.9
29,ETH Zurich,Switzerland,2019,1,41.0,90.0,28.0,36.0,86.8
30,McGill University,Canada,2019,2,27.0,91.0,71.0,41.0,86.7
31,University of Texas at Austin,USA,2019,22,72.0,58.0,43.0,44.0,86.5
32,École Polytechnique,France,2019,1,94.0,4.0,178.0,356.0,86.4
33,Seoul National University,South Korea,2019,1,523.0,21.0,251.0,48.0,86.3
34,"University of California, San Francisco",USA,2019,23,523.0,1001.0,11.0,21.0,86.2
35,Sorbonne University,France,2019,2,55.0,339.0,82.0,19.0,86.1
36,University of North Carolina at Chapel Hill,USA,2019,24,214.0,107.0,46.0,28.0,85.9
37,University of Edinburgh,United Kingdom,2019,5,38.0,336.0,65.0,47.0,85.8
38,University of Minnesota - Twin Cities,USA,2019,25,77.0,291.0,90.0,25.0,85.7
39,University of Copenhagen,Denmark,2019,1,119.0,352.0,48.0,26.0,85.6
40,University of Texas Southwestern Medical Center,USA,2019,26,19.0,1001.0,21.0,142.0,85.5
41,Washington University in St. Louis,USA,2019,27,150.0,163.0,42.0,35.0,85.4
42,Karolinska Institute,Sweden,2019,1,49.0,1001.0,39.0,59.0,85.3
