World Rank,Institution,Location,Year,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
1,Harvard University,USA,2023,1.0,1.0,1.0,1.0,1.0,100.0
2,Massachusetts Institute of Technology,USA,2023,2.0,4.0,12.0,3.0,9.0,96.7
3,Stanford University,USA,2023,3.0,11.0,4.0,2.0,2.0,95.2
4,University of Cambridge,United Kingdom,2023,1.0,3.0,25.0,5.0,11.0,94.1
5,University of Oxford,United Kingdom,2023,2.0,7.0,27.0,9.0,4.0,93.3
6,Princeton University,USA,2023,4.0,5.0,16.0,6.0,82.0,92.6
7,University of Chicago,USA,2023,5.0,8.0,15.0,22.0,28.0,92.1
8,Columbia University,USA,2023,6.0,12.0,14.0,10.0,13.0,91.6
9,University of Pennsylvania,USA,2023,7.0,14.0,8.0,45.0,12.0,91.2
10,Yale University,USA,2023,8.0,6.0,35.0,13.0,21.0,90.8
11,California Institute of Technology,USA,2023,9.0,2.0,96.0,7.0,83.0,90.4
12,"University of California, Berkeley",USA,2023,10.0,9.0,59.0,4.0,16.0,90.1
13,University of Tokyo,Japan,2023,1.0,37.0,6.0,113.0,30.0,89.8
14,Cornell University,USA,2023,11.0,16.0,29.0,18.0,23.0,89.5
15,Northwestern University,USA,2023,12.0,99.0,17.0,31.0,31.0,89.3
16,"University of Michigan, Ann Arbor",USA,2023,13.0,32.0,40.0,62.0,7.0,89.1
17,Johns Hopkins University,USA,2023,14.0,22.0,192.0,20.0,8.0,88.8
18,"University of California, Los Angeles",USA,2023,15.0,31.0,63.0,16.0,15.0,88.6
19,University College London,United Kingdom,2023,3.0,35.0,664.0,14.0,5.0,88.4
20,Duke University,USA,2023,16.0,58.0,49.0,19.0,24.0,88.2
21,PSL University,France,2023,1.0,17.0,31.0,111.0,91.0,88.0
22,University of Illinois at Urbana–Champaign,USA,2023,17.0,19.0,143.0,11.0,74.0,87.9
23,University of Toronto,Canada,2023,1.0,233.0,163.0,23.0,3.0,87.7
24,New York University,USA,2023,18.0,40.0,45.0,47.0,46.0,87.5
