World Rank,Institution,Location,Year,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
1,Harvard University,USA,2018,1,2.0,1,1.0,1,100.0
2,Stanford University,USA,2018,2,10.0,3,2.0,3,96.7
3,Massachusetts Institute of Technology,USA,2018,3,3.0,11,3.0,8,95.1
4,University of Cambridge,United Kingdom,2018,1,5.0,19,6.0,11,94.0
5,University of Oxford,United Kingdom,2018,2,9.0,25,10.0,5,93.2
6,"University of California, Berkeley",USA,2018,4,7.0,52,5.0,8,92.5
7,Princeton University,USA,2018,5,4.0,15,4.0,51,91.9
8,Columbia University,USA,2018,6,16.0,13,8.0,11,91.4
9,California Institute of Technology,USA,2018,7,1.0,200,7.0,42,91.0
10,University of Chicago,USA,2018,8,13.0,22,9.0,17,90.6
11,Yale University,USA,2018,9,11.0,34,12.0,20,90.3
12,University of Tokyo,Japan,2018,1,17.0,8,33.0,23,90.0
13,University of Pennsylvania,USA,2018,10,31.0,9,30.0,14,89.7
14,Cornell University,USA,2018,11,14.0,28,19.0,26,89.4
15,"University of California, Los Angeles",USA,2018,12,58.0,63,11.0,10,89.1
16,Johns Hopkins University,USA,2018,13,24.0,159,17.0,7,88.9
17,University of Toronto,Canada,2018,1,86.0,157,23.0,8,88.7
18,"University of Michigan, Ann Arbor",USA,2018,14,47.0,38,68.0,11,88.4
19,University of Washington - Seattle,USA,2018,15,75.0,220,26.0,9,88.2
20,"University of California, San Diego",USA,2018,16,37.0,1001,16.0,12,88.0
21,University College London,United Kingdom,2018,3,32.0,739,28.0,15,87.8
22,"University of California, San Francisco",USA,2018,17,667.0,1001,13.0,16,87.7
23,Northwestern University,USA,2018,18,129.0,18,44.0,33,87.5
24,Duke University,USA,2018,19,98.0,46,47.0,18,87.3
25,New York University,USA,2018,20,64.0,40,18.0,38,87.2
26,Kyoto University,Japan,2018,2,25.0,29,24.0,65,87.0
27,University of Wisconsin–Madison,USA,2018,21,65.0,79,32.0,24,86.9
28,ETH Zurich,Switzerland,2018,1,29.0,98,20.0,43,86.7
29,Sorbonne University,France,2018,1,46.0,344,56.0,20,86.6
30,Imperial College London,United Kingdom,2018,4,93.0,103,43.0,24,86.5
31,University of Texas at Austin,USA,2018,22,108.0,62,29.0,47,86.3
32,University of Illinois at Urbana–Champaign,USA,2018,23,40.0,150,27.0,55,86.2
