World Rank,Institution,Location,Year,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
1,Harvard University,USA,2022,1,1.0,1.0,1.0,1.0,100.0
2,Massachusetts Institute of Technology,USA,2022,2,4.0,12.0,2.0,7.0,96.7
3,Stanford University,USA,2022,3,11.0,4.0,3.0,2.0,95.1
4,University of Cambridge,United Kingdom,2022,1,3.0,25.0,4.0,10.0,94.1
5,University of Oxford,United Kingdom,2022,2,7.0,27.0,9.0,4.0,93.3
6,Princeton University,USA,2022,4,5.0,15.0,6.0,79.0,92.6
7,University of Chicago,USA,2022,5,8.0,16.0,21.0,22.0,92.0
8,Columbia University,USA,2022,6,12.0,14.0,10.0,14.0,91.5
9,University of Pennsylvania,USA,2022,7,14.0,8.0,41.0,11.0,91.1
10,California Institute of Technology,USA,2022,8,2.0,104.0,7.0,80.0,90.7
11,Yale University,USA,2022,9,6.0,36.0,12.0,20.0,90.4
12,"University of California, Berkeley",USA,2022,10,9.0,59.0,5.0,16.0,90.1
13,University of Tokyo,Japan,2022,1,37.0,6.0,112.0,29.0,89.8
14,Cornell University,USA,2022,11,16.0,28.0,18.0,24.0,89.5
15,"University of Michigan, Ann Arbor",USA,2022,12,29.0,40.0,59.0,6.0,89.2
16,Johns Hopkins University,USA,2022,13,24.0,192.0,23.0,8.0,89.0
17,Northwestern University,USA,2022,14,138.0,17.0,47.0,31.0,88.8
18,"University of California, Los Angeles",USA,2022,15,42.0,63.0,17.0,15.0,88.6
19,PSL University,France,2022,1,17.0,30.0,107.0,86.0,88.4
20,Duke University,USA,2022,16,50.0,48.0,19.0,25.0,88.2
21,University College London,United Kingdom,2022,3,33.0,660.0,15.0,5.0,88.0
22,University of Illinois at Urbana–Champaign,USA,2022,17,18.0,139.0,11.0,73.0,87.8
23,New York University,USA,2022,18,36.0,43.0,43.0,46.0,87.6
24,University of Toronto,Canada,2022,1,207.0,159.0,22.0,3.0,87.5
25,University of Washington,USA,2022,19,71.0,231.0,25.0,9.0,87.3
26,Kyoto University,Japan,2022,2,38.0,33.0,64.0,75.0,87.2
27,University of Wisconsin–Madison,USA,2022,20,34.0,100.0,30.0,35.0,87.0
28,McGill University,Canada,2022,2,25.0,103.0,44.0,45.0,86.9
29,ETH Zurich,Switzerland,2022,1,60.0,89.0,24.0,42.0,86.8
30,Imperial College London,United Kingdom,2022,4,69.0,117.0,53.0,17.0,86.6
31,Seoul National University,South Korea,2022,1,336.0,22.0,150.0,57.0,86.5
32,Paris-Saclay University,France,2022,2,172.0,136.0,45.0,13.0,86.4
33,University of Texas at Austin,USA,2022,21,86.0,64.0,16.0,58.0,86.3
