World Rank,Institution,Location,Year,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
1,Harvard University,USA,2017,1.0,1,1,1,1,100.0
2,Stanford University,USA,2017,2.0,8,2,2,3,96.86
3,Massachusetts Institute of Technology,USA,2017,3.0,2,12,3,6,95.72
4,University of Cambridge,United Kingdom,2017,1.0,3,10,6,11,93.14
5,University of Oxford,United Kingdom,2017,2.0,7,14,9,5,92.2
6,Columbia University,USA,2017,4.0,13,6,10,13,90.8
7,"University of California, Berkeley",USA,2017,5.0,6,24,5,8,88.26
8,University of Chicago,USA,2017,6.0,11,13,8,17,87.13
9,Princeton University,USA,2017,7.0,4,15,4,49,86.04
10,Yale University,USA,2017,8.0,9,27,11,20,81.2
11,California Institute of Technology,USA,2017,9.0,5,339,7,39,80.46
12,Cornell University,USA,2017,10.0,10,17,16,25,79.73
13,University of Tokyo,Japan,2017,1.0,14,3,29,22,76.8
14,University of Pennsylvania,USA,2017,11.0,24,4,27,14,73.9
15,"University of California, Los Angeles",USA,2017,12.0,37,28,12,10,71.83
16,Johns Hopkins University,USA,2017,13.0,17,91,18,6,67.15
17,Northwestern University,USA,2017,14.0,150,11,43,31,65.02
18,"University of California, San Diego",USA,2017,15.0,23,616,17,13,64.87
19,New York University,USA,2017,16.0,35,21,20,36,64.36
20,"University of California, San Francisco",USA,2017,17.0,383,616,14,15,64.36
21,Kyoto University,Japan,2017,2.0,18,18,23,65,64.06
22,University of Michigan,USA,2017,18.0,27,20,141,11,63.9
23,Seoul National University,South Korea,2017,1.0,383,9,240,117,62.23
24,Swiss Federal Institute of Technology in Zurich,Switzerland,2017,1.0,19,52,19,40,61.18
25,University of Washington,USA,2017,19.0,46,115,24,8,60.66
26,University of Wisconsin–Madison,USA,2017,20.0,32,30,36,24,60.46
27,Hebrew University of Jerusalem,Israel,2017,1.0,16,217,15,177,59.12
28,University of Toronto,Canada,2017,1.0,44,71,22,9,59.09
29,Duke University,USA,2017,21.0,85,32,49,18,58.84
30,University of Texas at Austin,USA,2017,22.0,71,29,28,48,58.3
31,University College London,United Kingdom,2017,3.0,20,439,35,17,58.14
32,Keio University,Japan,2017,3.0,308,5,240,329,57.63
33,Rockefeller University,USA,2017,23.0,36,616,13,249,57.53
34,Imperial College London,United Kingdom,2017,4.0,60,68,39,20,57.23
35,École Polytechnique,France,2017,1.0,107,7,187,321,56.63
36,University of Illinois at Urbana–Champaign,USA,2017,24.0,26,77,26,51,56.1
37,Waseda University,Japan,2017,4.0,311,8,240,494,55.67
38,University of North Carolina at Chapel Hill,USA,2017,25.0,144,70,62,25,55.19
39,Weizmann Institute of Science,Israel,2017,2.0,21,616,21,196,54.75
40,University of Virginia,USA,2017,26.0,147,19,133,98,54.28
41,McGill University,Canada,2017,2.0,33,38,56,43,54.17
42,École normale supérieure - Paris,France,2017,2.0,12,514,75,387,54.01
43,University of Pittsburgh,USA,2017,27.0,87,147,240,34,53.55
44,University of Edinburgh,United Kingdom,2017,5.0,31,158,32,43,53.52
45,University of Southern California,USA,2017,28.0,143,58,37,66,53.49
46,University of Minnesota,USA,2017,29.0,67,141,69,29,53.41
47,Dartmouth College,USA,2017,30.0,54,16,240,213,53.35
48,Ohio State University,USA,2017,31.0,83,97,60,39,53.33
49,Rutgers University,USA,2017,32.0,106,41,31,67,53.31
