World Rank,Institution,Location,Year,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
1,Harvard University,USA,2021,1,1.0,1.0,1.0,1.0,100.0
2,Massachusetts Institute of Technology,USA,2021,2,4.0,12.0,2.0,8.0,96.7
3,Stanford University,USA,2021,3,10.0,4.0,3.0,2.0,95.1
4,University of Cambridge,United Kingdom,2021,1,3.0,25.0,4.0,10.0,94.1
5,University of Oxford,United Kingdom,2021,2,7.0,27.0,9.0,4.0,93.3
6,Princeton University,USA,2021,4,5.0,15.0,7.0,70.0,92.6
7,Columbia University,USA,2021,5,11.0,14.0,10.0,15.0,92.0
8,University of Chicago,USA,2021,6,8.0,16.0,27.0,22.0,91.5
9,University of Pennsylvania,USA,2021,7,14.0,10.0,42.0,12.0,91.1
10,Yale University,USA,2021,8,6.0,36.0,13.0,20.0,90.7
11,California Institute of Technology,USA,2021,9,2.0,111.0,8.0,75.0,90.4
12,"University of California, Berkeley",USA,2021,10,9.0,60.0,5.0,13.0,90.1
13,University of Tokyo,Japan,2021,1,39.0,6.0,107.0,27.0,89.8
14,Cornell University,USA,2021,11,15.0,28.0,18.0,24.0,89.5
15,"University of Michigan, Ann Arbor",USA,2021,12,29.0,38.0,79.0,5.0,89.2
16,Johns Hopkins University,USA,2021,13,23.0,206.0,22.0,6.0,89.0
17,Northwestern University,USA,2021,14,137.0,18.0,46.0,30.0,88.8
18,"University of California, Los Angeles",USA,2021,15,44.0,63.0,16.0,14.0,88.6
19,University College London,United Kingdom,2021,3,36.0,668.0,15.0,7.0,88.4
20,Duke University,USA,2021,16,64.0,50.0,17.0,23.0,88.2
21,PSL University,France,2021,1,18.0,30.0,104.0,126.0,88.0
22,University of Illinois at Urbana–Champaign,USA,2021,17,24.0,132.0,11.0,62.0,87.8
23,University of Washington - Seattle,USA,2021,18,67.0,199.0,23.0,9.0,87.6
24,University of Toronto,Canada,2021,1,230.0,158.0,21.0,3.0,87.5
25,University of Wisconsin–Madison,USA,2021,19,33.0,97.0,29.0,32.0,87.3
26,New York University,USA,2021,20,47.0,45.0,38.0,48.0,87.2
27,McGill University,Canada,2021,2,25.0,101.0,40.0,44.0,87.0
28,Kyoto University,Japan,2021,2,42.0,32.0,63.0,64.0,86.9
29,ETH Zurich,Switzerland,2021,1,58.0,96.0,20.0,39.0,86.8
30,Imperial College London,United Kingdom,2021,4,69.0,109.0,52.0,17.0,86.6
31,Seoul National University,South Korea,2021,1,315.0,21.0,135.0,58.0,86.5
32,Paris-Saclay University,France,2021,2,173.0,138.0,43.0,11.0,86.4
33,University of Texas at Austin,USA,2021,21,94.0,62.0,14.0,56.0,86.3
34,"University of California, San Diego",USA,2021,22,120.0,1001.0,12.0,19.0,86.1
35,Karolinska Institute,Sweden,2021,1,37.0,1001.0,34.0,60.0,86.0
36,Sorbonne University,France,2021,3,85.0,292.0,92.0,16.0,85.9
37,University of Copenhagen,Denmark,2021,1,90.0,376.0,44.0,26.0,85.8
38,"University of California, San Francisco",USA,2021,23,527.0,1001.0,19.0,25.0,85.7
39,University of North Carolina at Chapel Hill,USA,2021,24,80.0,102.0,76.0,35.0,85.6
40,Dartmouth College,USA,2021,25,53.0,17.0,95.0,273.0,85.5
41,Institut Polytechnique de Paris,France,2021,4,100.0,8.0,219.0,316.0,85.4
42,University of Paris,France,2021,5,233.0,932.0,56.0,18.0,85.3
43,King's College London,United Kingdom,2021,5,57.0,420.0,31.0,55.0,85.2
44,Ludwig Maximilian University of Munich,Germany,2021,1,60.0,255.0,53.0,51.0,85.1
45,University of Edinburgh,United Kingdom,2021,6,55.0,421.0,60.0,50.0,85.0
46,University of Minnesota - Twin Cities,USA,2021,26,74.0,313.0,119.0,28.0,85.0
47,Washington University in St. Louis,USA,2021,27,128.0,190.0,36.0,47.0,84.9
48,University of British Columbia,Canada,2021,3,103.0,616.0,84.0,31.0,84.8
49,Rockefeller University,USA,2021,28,13.0,1001.0,6.0,416.0,84.7
50,Rutgers University–New Brunswick,USA,2021,29,189.0,115.0,24.0,87.0,84.6
51,University of Southern California,USA,2021,30,314.0,131.0,26.0,71.0,84.5
52,"University of California, Davis",USA,2021,31,97.0,567.0,65.0,46.0,84.5
53,Vanderbilt University,USA,2021,32,374.0,85.0,61.0,67.0,84.4
54,Pennsylvania State University,USA,2021,33,293.0,154.0,58.0,53.0,84.3
55,Free University of Berlin,Germany,2021,2,79.0,1001.0,35.0,77.0,84.2
56,Ohio State University,USA,2021,34,124.0,254.0,137.0,37.0,84.2
57,University of Manchester,United Kingdom,2021,7,106.0,356.0,77.0,52.0,84.1
58,Tsinghua University,China,2021,1,514.0,76.0,274.0,29.0,84.0
59,Peking University,China,2021,2,363.0,72.0,274.0,33.0,84.0
60,Humboldt University of Berlin,Germany,2021,3,82.0,1001.0,49.0,72.0,83.9
61,Purdue University,USA,2021,35,92.0,89.0,67.0,104.0,83.8
62,University of Texas Southwestern Medical Center,USA,2021,36,35.0,1001.0,28.0,158.0,83.8
63,University of Melbourne,Australia,2021,1,133.0,387.0,130.0,36.0,83.7
64,Hebrew University of Jerusalem,Israel,2021,1,27.0,397.0,33.0,183.0,83.6
65,University of Zurich,Switzerland,2021,2,89.0,626.0,55.0,74.0,83.6
66,Brown University,USA,2021,37,73.0,58.0,115.0,132.0,83.5
67,Weizmann Institute of Science,Israel,2021,2,20.0,1001.0,45.0,267.0,83.4
68,University of Colorado Boulder,USA,2021,38,148.0,173.0,48.0,93.0,83.4
69,University of Virginia,USA,2021,39,324.0,35.0,182.0,129.0,83.3
70,Heidelberg University,Germany,2021,4,138.0,903.0,80.0,57.0,83.3
71,Utrecht University,Netherlands,2021,1,172.0,431.0,160.0,40.0,83.2
72,University of Pittsburgh,USA,2021,40,231.0,210.0,262.0,34.0,83.1
73,University of Chinese Academy of Sciences,China,2021,3,527.0,1001.0,274.0,21.0,83.1
74,"Texas A&M University, College Station",USA,2021,41,527.0,127.0,68.0,91.0,83.0
75,"University of Maryland, College Park",USA,2021,42,113.0,477.0,133.0,61.0,83.0
76,Georgia Institute of Technology,USA,2021,43,309.0,194.0,41.0,111.0,82.9
77,University of Oslo,Norway,2021,1,98.0,701.0,75.0,92.0,82.9
78,Osaka University,Japan,2021,3,141.0,67.0,120.0,125.0,82.8
79,University of Birmingham,United Kingdom,2021,8,50.0,428.0,169.0,107.0,82.8
80,Technical University of Munich,Germany,2021,5,76.0,371.0,136.0,84.0,82.7
81,University of Alberta,Canada,2021,4,329.0,458.0,70.0,83.0,82.6
82,"University of California, Irvine",USA,2021,44,527.0,1001.0,32.0,103.0,82.6
83,University of Rochester,USA,2021,45,63.0,75.0,129.0,159.0,82.5
84,University of Amsterdam,Netherlands,2021,2,239.0,817.0,192.0,42.0,82.5
85,Carnegie Mellon University,USA,2021,46,56.0,145.0,37.0,204.0,82.4
86,University of Florida,USA,2021,47,318.0,465.0,140.0,59.0,82.4
87,Leiden University,Netherlands,2021,3,107.0,1001.0,73.0,99.0,82.3
88,Uppsala University,Sweden,2021,2,140.0,464.0,69.0,101.0,82.3
89,National University of Singapore,Singapore,2021,1,322.0,155.0,274.0,41.0,82.2
90,National Taiwan University,Taiwan,2021,1,301.0,40.0,274.0,120.0,82.2
91,University of Bristol,United Kingdom,2021,9,188.0,353.0,74.0,98.0,82.2
